piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,max_avg_chord_stretch_window,p95_position_shift_window,avg_stretch_velocity_beats,p90_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,polyphonic_arpeggio_intensity_beats,avg_polyphony,total_notes,tempo_bpm,log_total_notes,repetition_ratio,max_note_density_window,true_label,predicted_label
Sarabande||George Frideric Handel,0.53325415,-0.7833902,0.1876391,0.6105686,0.37298173,-0.5024552,-0.8000996,0.025767619,0.036857173,-0.29168147,-0.26781282,-0.09906824,0.6103583,-0.84136975,-0.42236406,0.88077474,-0.45763066,-0.48371822,0.89822346,0.33740178,-0.48455113,-0.25643426,-0.30751386,0.71307874,-0.028819833,0.46980107,0.25384173,-0.8960318,-0.8386986,-0.9103606,0.38766497,0.32566106,2,1
"Sonata I, BWV 1001: i. Adagio||J.S. Bach",0.5299297,-0.79969573,0.1876391,0.6608354,0.47140735,-0.35468557,-0.7868644,0.031068709,0.8496202,-0.5587727,0.35163867,0.16572283,0.56438124,-0.5482179,-0.27604237,0.8230538,-0.52535045,-0.6361623,0.7933917,0.517026,-0.4472399,-0.10813072,-0.48872474,0.15258148,0.7492217,0.7555443,0.341662,-0.6737342,-0.348175,-0.29963383,0.38434198,0.3401815,6,4
Sonata II: BWV 1003: iv. Allegro||J.S. Bach,0.53325415,-0.7755429,-0.008145033,0.7409534,0.61896664,0.8200076,-0.69037855,0.1945095,0.9679793,-0.13426557,0.9011656,0.8437081,0.19840142,0.36597592,-0.50947064,0.6899885,-0.4425149,-0.42452785,0.44865012,0.71821284,-0.45600224,-0.1963282,-0.48872474,-0.9470058,0.88815445,0.5745311,0.45013556,-0.078387104,-0.6732896,0.27029142,0.37771377,0.33882692,6,6
"Sonata in A Major, L 238/ K 208||Domenico Scarlatti",0.53325415,-0.79614913,0.36956844,0.70299876,0.45879903,-0.37144777,-0.7799616,0.042166695,0.49515417,-0.5587727,0.839141,0.53270984,0.3689396,-0.46650484,0.26720393,0.830794,-0.5784509,-0.7818835,0.53411525,0.9165932,-0.48119837,-0.72897494,-0.30751386,0.53374875,0.7118853,0.69403476,0.36478132,-0.7435963,-0.39414945,-0.4436269,0.4094148,0.34962365,2,5
"Studio in Si Minore, Op. 35 no. 22||Fernando Sor",0.53325415,-0.7796662,0.12324779,0.60745585,0.26419875,-0.3641619,-0.7935758,0.028257024,0.8420749,-0.29168147,-0.7601423,0.26727733,0.5559057,-0.7340512,-0.27604237,0.830794,-0.45904392,-0.53879166,0.89270157,0.20979893,-0.5158113,-0.7295958,-0.48872474,-0.64614856,-0.14324963,0.78905755,0.1847231,-0.7389509,-0.7398195,-0.43287918,0.3705544,0.3365662,1,1
"Study in E Minor, Op. 35 no. 18||Fernando Sor",0.53325415,-0.8384022,0.88052374,0.8879941,0.25489986,-0.2172994,-0.640675,0.046837196,-0.025024612,-0.99795204,0.96790147,0.9488938,-0.7570669,-0.7918758,0.37985775,0.46040794,-0.63491446,-0.9649246,0.6027873,0.5467482,-0.49843565,-0.694912,-0.63572717,0.78284234,-0.7964142,0.8512996,0.07565193,-0.8280482,-0.8386986,-0.676163,0.3909732,0.33475485,1,1
Study No. 6||Fernando Sor,0.53325415,-0.7833902,0.12324779,0.6491144,0.49387175,-0.45841146,-0.7935758,0.025767619,0.41546616,-0.29168147,0.22097985,0.060527515,0.5253613,-0.7675984,-0.39920574,0.87109244,-0.47671986,-0.53879166,0.87053746,0.18322892,-0.5074785,-0.93081975,-0.30751386,0.55514497,0.8526218,0.3763378,0.4315724,-0.846526,-0.8386986,-0.7372511,0.3794589,0.32794026,0,2
"Study, Op. 139 no. 5||Mauro Giuliani",0.48055223,-0.7954115,0.1876391,0.69048285,0.1750832,-0.4047055,-0.7799616,0.04324097,0.030545028,-0.43473873,0.850766,0.53270984,0.34453526,-0.58071095,-0.31418872,0.7897353,-0.5094561,-0.604027,0.80578667,0.517026,-0.4307749,0.17468233,-0.30751386,0.654254,-0.18818529,0.87424546,0.012500306,-0.7914651,-0.8386986,-0.5662064,0.43266165,0.34378675,1,3
"Study, Op. 48 no. 23||Mauro Giuliani",0.51397556,-0.80637676,0.1876391,0.87447363,0.47967955,-0.06479383,-0.75806755,0.06449777,0.803835,-0.5472973,0.82032186,0.9539453,-0.925853,-0.3624551,-0.14309329,0.42698848,-0.5795413,-0.7818835,-0.031262103,0.84420055,-0.48956773,-0.67766845,-0.30751386,-0.2247951,0.8640248,0.63424796,0.41298372,-0.7748596,-0.7398195,-0.52110606,0.39727956,0.3451361,4,2
"Study, Op. 60 no. 13||Matteo Carcassi",0.53325415,-0.7827456,0.057801683,0.8516905,0.2719734,-0.35923713,-0.77286357,0.047338422,-0.76315296,-0.26114678,0.95104444,0.9539453,-0.87296,-0.73746634,-0.27604237,0.8230538,-0.52535045,-0.6361623,0.7933917,0.517026,-0.47458875,-0.73278004,-0.30751386,-0.98949766,0.8817295,0.7555443,0.4436773,-0.8317923,-0.50055593,-0.6882533,0.55602723,0.3401815,2,1
"Study, Op. 60 no. 17||Matteo Carcassi",0.51437986,-0.7940171,0.12324779,0.95248705,0.44965354,-0.02588019,-0.640675,0.07020384,0.23915502,-0.43473873,0.9959943,0.9539453,-0.9654793,-0.23161843,-0.37950844,0.42698848,-0.56872755,-0.7575749,-0.7972762,0.84420055,-0.4953866,-0.9300424,-0.30751386,0.31313273,0.8188593,0.6514539,0.38847235,-0.80936354,-0.7398195,-0.6181428,0.4219429,0.34827906,2,1
"Study, Op. 60 no. 20||Matteo Carcassi",0.53325415,-0.7755429,-0.008145033,0.7239383,0.47704363,-0.33146328,-0.76556677,0.060924985,0.19448452,-0.13426557,0.85997343,0.6680698,0.0937644,-0.4690351,-0.50947064,0.77938294,-0.4425149,-0.42452785,0.81877327,0.33740178,-0.49984086,-0.8708252,-0.30751386,0.13437572,0.8888651,0.33935052,0.4505561,-0.7829698,-0.98421216,-0.5427723,0.37355402,0.3247483,5,3
"Study, Op. 60 no. 24||Matteo Carcassi",0.53325415,-0.8094491,0.42512783,0.7062855,0.19863944,-0.3211337,-0.7799616,0.043863703,0.6436755,-0.5587727,0.80843097,0.90525013,0.07132792,-0.40145814,-0.07428959,0.58203614,-0.6810412,-0.87374526,0.52340317,0.9646938,-0.44870934,0.026895115,-0.30751386,0.18990295,0.48592982,0.95571655,0.1517387,-0.45774245,-0.7398195,-0.008486425,0.46431518,0.35810587,5,5
"Study, Op. 60 no. 4||Matteo Carcassi",0.53325415,-0.7827456,0.057801683,0.7040398,0.5581553,-0.21546991,-0.76556677,0.070659265,0.5499801,-0.26114678,-0.006437332,0.6680698,0.20395459,-0.29350147,-0.39920574,0.80228925,-0.5041675,-0.5992658,0.5559788,0.5933557,-0.48120514,-0.73552597,-0.48872474,-0.96295035,0.88057834,0.675452,0.44419643,-0.8517985,-0.8386986,-0.75529176,0.39072943,0.33973014,2,1
"Suite 2 for Cello, BWV 1008: i. Prelude||J.S. Bach",0.5250865,-0.8040617,0.8274705,0.7265474,0.47953856,-0.18701985,-0.75806755,0.06678581,0.76303685,-0.5587727,0.5700688,0.9539453,-0.31491357,-0.10331019,0.9599741,0.45265597,-0.6231365,-0.87374526,0.5772214,0.84420055,-0.46546152,-0.27342734,-0.63572717,0.14727682,0.7866804,0.7764911,0.37307242,-0.32881176,-0.39414945,0.10623283,0.38989606,0.346933,3,6
"Suite 2 for Cello, BWV 1008: iv. Sarabande||J.S. Bach",0.5188965,-0.7895385,0.1876391,0.6432431,0.34245467,-0.44860893,-0.7868644,0.027656315,0.4296247,-0.43473873,0.33063528,0.16572283,0.55291605,-0.6302877,-0.36952773,0.86163116,-0.50820035,-0.6361623,0.82640547,0.33740178,-0.4720383,-0.33952233,-0.30751386,0.6568806,0.255939,0.81254226,0.22515528,-0.8349424,-0.27601093,-0.6985421,0.3970577,0.3401815,2,3
"Suite 3 for Cello, BWV 1009: ii. Allemande||J.S. Bach",0.525252,-0.79349226,0.1876391,0.6737732,0.40727028,-0.24136244,-0.75806755,0.055447686,0.8204194,-0.43473873,0.47099057,0.6530411,0.3164598,-0.30362517,-0.14309329,0.77842,-0.6076453,-0.7818835,0.68221426,0.5933557,-0.43960932,-0.22745268,-0.48872474,0.24305703,0.53572524,0.7012459,0.33176386,-0.5204413,-0.27601093,-0.07664461,0.43196696,0.34198537,4,5
"Suite 6 for Cello, BWV 1012: i . Prelude||J.S. Bach",0.53325415,-0.7887278,0.3112345,0.71566665,0.5242841,-0.27018413,-0.77286357,0.054620165,0.65143603,-0.43473873,0.845009,0.7701013,0.32924885,-0.31746903,0.13373359,0.78881216,-0.49119076,-0.6361623,0.79962695,0.5933557,-0.47601572,-0.45712793,-0.48872474,0.64885086,0.8300593,0.42417803,0.41829538,0.30810508,-0.8740801,0.45286208,0.38702893,0.3383751,4,6
"Suite 6 for Cello, BWV 1012: iii.  Courante||J.S. Bach",0.53325415,-0.7755429,-0.008145033,0.70110875,0.6176775,-0.31067637,-0.7868644,0.036357127,0.83485585,-0.13426557,0.7241604,0.36322257,0.49682307,-0.55422616,-0.50947064,0.83676356,-0.4425149,-0.42452785,0.6958703,0.43148085,-0.44981766,-0.29715088,-0.30751386,0.60012966,0.8888651,0.48420545,0.4505561,-0.60371107,-0.016668683,-0.18545933,0.38308647,0.3379231,2,6
"Suite 6 for Cello, BWV 1012: iv.  Sarabande||J.S. Bach",0.53325415,-0.79744536,0.1876391,0.66099584,0.1558046,-0.30166343,-0.77286357,0.05240824,0.7121181,-0.5587727,0.48299292,0.53270984,0.30605298,-0.4184128,-0.25011057,0.797439,-0.49125126,-0.58961517,0.91438526,0.15638843,-0.4593896,0.028164119,-0.30751386,0.55437034,-0.23855712,0.5847013,0.053933837,-0.8057769,-0.6732896,-0.6074516,0.46563077,0.32885084,2,3
