piece_id,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,open_string_ratio,p90_chord_stretch,shift_rate,max_position_shift,std_position_shift,fret_entropy,max_avg_chord_stretch_window,avg_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,arpeggio_density,avg_string_jump,max_string_jump,string_entropy,chord_ratio,polyphonic_arpeggio_intensity_beats,total_notes,tempo_bpm,log_total_notes,repetition_ratio,max_note_density_window,true_label,predicted_label
"Andantino, Op. 44 no. 3||Fernando Sor",-0.87053084,-0.07548313,-0.64656997,-0.7603632,-0.6561244,0.5877495,0.6383044,-0.36400443,-0.06217597,-0.71913093,-0.9587433,0.13222404,-0.75764906,0.48902586,0.8871173,-0.40370727,0.7835889,0.64532435,-0.9365717,-0.5474403,-0.86456466,0.73638743,-0.39345342,-0.79955816,-0.5129451,1,1
Angostura (Valse Venezolano)||Antonio Lauro,-0.87053084,-0.04704166,-0.5936891,-0.82788306,-0.6132503,0.20597889,0.88021636,-0.4361904,-0.38672724,0.73383856,-0.95959693,-0.012535929,-0.43547708,0.8168403,0.89059305,-0.6599875,0.87477016,0.8861609,-0.8790535,-0.7004101,-0.6577793,0.85946923,0.74676806,-0.80308694,-0.39564562,4,4
Leyenda (Asturias) from Suite Espanola||Isaac Albeniz,-0.8753812,0.5923992,-0.53512996,-0.87837857,-0.2204908,-0.25081655,0.9703639,-0.39669985,-0.43491313,0.7465395,-0.96205556,-0.71074075,0.99140567,0.9986902,0.8252632,-0.72880036,0.87477016,0.88467073,-0.7435995,-0.7645209,0.8276747,0.64585596,0.9926312,-0.937936,-0.15647714,6,6
"Ay, Ay, Ay!...||Agustin Barrios Mangore",-0.8753378,-0.005090208,-0.53512996,-0.764536,-0.045444667,0.20597889,0.49820706,-0.39871138,-0.16889502,0.6499514,-0.96043336,-0.17501934,-0.2579292,0.9424713,0.7219622,-0.4009376,0.87477016,-0.14727576,-0.94010323,-0.91194105,-0.39986548,0.43251222,0.9061321,-0.84243065,-0.18624485,4,3
Bagatelle||Ludwig van Beethoven,-0.88127667,0.26239833,-0.5936891,-0.739711,-0.06707607,0.20597889,-0.013945271,-0.36400443,-0.056458868,0.19872318,-0.9587433,0.06295931,-0.7477037,0.52277243,0.7194106,0.40721434,0.87477016,0.92570233,-0.974515,-0.76169837,-0.876637,0.64585596,-0.56669974,-0.8261891,-0.47032568,1,2
Be Thou With Me (Bist du bei  mir)||J.S. Bach,-0.87053084,-0.20455492,-0.64656997,-0.77530146,-0.6380545,0.20597889,0.63417566,-0.37226704,-0.07444038,-0.24687235,-0.9576311,0.15430447,-0.65852976,0.5390611,0.7961201,-0.2083201,0.87477016,0.93572617,-0.9588618,-0.6777331,-0.83867055,0.5326026,-0.05948985,-0.8034936,-0.47032568,6,1
Bianco fiore||Cesare Negri,-0.87053084,-0.12003934,-0.64656997,-0.7498518,-0.44256276,0.5877495,0.009602132,-0.35985148,-0.04027382,-0.5301193,-0.95698255,0.14944084,-0.73272777,0.46270928,0.58481854,0.5766829,0.42821875,0.32021928,-0.93641,-0.7029103,-0.9061247,0.64585596,-0.91829914,-0.8199118,-0.49772024,0,0
Castles of Spain: Alba de Tormes (Trova)||F. Moreno-Torroba,-0.9206584,0.10148101,-0.64656997,-0.76317865,-0.023600934,0.20597889,0.2336754,-0.37637642,-0.120517656,0.33612153,-0.9587433,-0.15013573,-0.63753235,0.56275594,0.78806424,-0.73928857,0.87477016,0.8473073,-0.9251675,-0.8000812,-0.8220805,0.36661756,0.110895894,-0.80271417,-0.40423384,2,1
Castles of Spain: Manzanares el Real (A la Moca Fermosa)||F. Moreno-Torroba,-0.87474376,0.53811896,-0.5936891,-0.7817201,0.6354396,-0.25081655,0.65222985,-0.3926653,-0.16358508,0.9147031,-0.9599434,-0.486688,-0.5835056,0.6486482,0.5988565,-0.17357448,0.87477016,0.9412893,-0.93545336,-0.7993271,-0.7536682,0.31264576,0.5253403,-0.8559058,-0.37387198,3,4
Castles of Spain: Montemayor (Romance de los Pinos)||F. Moreno-Torroba,-0.8866869,0.26021585,-0.5936891,-0.77025473,0.52740693,0.20597889,0.8315403,-0.37500826,-0.12266478,0.85972,-0.95801836,-0.4162007,-0.2604194,0.77543896,0.6530768,0.5067554,0.42821875,0.7444307,-0.9561248,-0.90606135,-0.8504208,0.17347585,-0.20161577,-0.8784329,-0.37387198,3,3
Dance||Hans Neusidler,-0.87053084,-0.058620017,-0.64656997,-0.7537127,-0.6556625,0.20597889,0.10508932,-0.36400443,-0.06692187,-0.52775836,-0.95780414,0.075431705,-0.682047,0.48902586,0.5929549,0.5443372,0.638808,0.5228835,-0.93702203,-0.818729,-0.8272129,0.64585596,0.06191721,-0.84947705,-0.43787116,0,1
Dance of the Miller from The Three-Cornered Hat||Manuel de Falla,-0.957809,0.2618215,-0.5936891,-0.6887056,-0.22088198,0.20597889,-0.40605953,-0.38047102,-0.098031215,0.5115885,-0.96043336,-0.81356806,-0.5633882,0.9251465,0.44688472,0.6207772,0.638808,0.96985656,-0.9797506,-0.9984224,0.94995296,0.64585596,0.99612856,-0.96528983,0.54342175,3,5
Danza||Anonymous,-0.87053084,-0.04779209,-0.64656997,-0.760776,-0.7077646,0.20597889,0.38618758,-0.39669985,-0.13891146,-0.18748231,-0.9587433,-0.36659122,-0.11658629,0.83826226,0.89722145,-0.8761495,0.87477016,0.8805052,-0.87306833,-0.89012754,-0.44380727,0.45353404,0.893115,-0.80833733,-0.23024726,1,2
Danza Espanola No. 3 (Fandango)||Enrique Granados,-0.87053084,0.2642718,-0.5936891,-0.78113014,-0.13724661,-0.25081655,0.69671315,-0.38455078,-0.1653819,0.7700564,-0.96043336,-0.27260554,-0.5932323,0.70392555,0.54388714,0.3724949,0.638808,0.9337448,-0.98430675,-0.90626925,0.8833986,0.8349063,0.99410224,-0.883192,-0.30146268,3,6
Dos preludios - I||Joaquin Rodrigo,-0.87053084,-0.005464723,-0.53512996,-0.8275635,-0.23443413,0.20597889,0.8437649,-0.4361904,-0.27923864,0.8959269,-0.9587433,-0.38873112,0.54770356,0.95587826,0.7889351,-0.041006982,0.87477016,0.36861503,-0.76378685,-0.8073975,0.1874286,0.20708622,0.9721776,-0.8135701,-0.3107283,7,6
Dos Temas Populares Cubanos - Berceuse - Cancion de Cuna||Leo Brouwer,-0.87237316,-0.038834807,-0.53512996,-0.77981716,-0.49087602,0.20597889,0.87302935,-0.3791078,-0.1308013,0.00910865,-0.9587433,-0.031135833,-0.61108744,0.57805806,0.8409929,-0.22339016,0.7835889,0.9513094,-0.90928763,-0.71685886,-0.16528697,0.46727547,0.9465712,-0.83178705,-0.4337302,4,4
Douze Etudes - Etude No. 10||Heitor Villa-Lobos,-0.87053084,0.09073301,-0.64656997,-0.8544405,-0.15467903,0.20597889,0.97034955,-0.40472302,-0.26175082,0.8658807,-0.9587433,-0.47654334,0.73879665,0.76623464,0.4711028,0.50183,0.87477016,0.9365245,-0.82095754,-0.8758384,0.5016483,0.43251222,0.9839619,-0.8719755,-0.121389106,6,6
Douze Etudes - Etude No. 5||Heitor Villa-Lobos,-0.87053084,0.20824055,-0.47093278,-0.73251927,-0.27868533,0.20597889,0.31198278,-0.37637642,-0.12694006,0.6587485,-0.9587433,-0.9875801,0.40616712,0.97174275,0.87428355,-0.5345019,0.7835889,0.8366443,-0.88611805,-0.9672076,0.32693785,0.053128835,0.97810197,-0.92698485,0.30735806,5,5
Douze Etudes - Etude No. 6||Heitor Villa-Lobos,-0.88723034,0.9843707,0.69899786,-0.8617368,0.30109206,-0.9999998,0.98866886,-0.3980413,-0.31900287,0.95404035,-0.9705654,-0.9704658,0.5820809,0.8448797,0.8620988,-0.8996337,0.7835889,0.9180404,-0.9884426,-0.9987188,0.013208396,0.5326026,0.9621849,-0.823834,-0.00441897,4,6
